id_1,id_2
1,113
1,133
1,116
1,31
1,64
1,58
2,87
2,6
3,57
3,2
3,19
3,16
4,18
4,9
4,85
4,19
5,72
5,125
5,55
5,139
6,147
6,148
6,122
7,122
7,105
7,49
7,25
8,111
8,91
9,106
9,120
9,14
9,26
9,16
9,104
9,87
10,64
10,50
11,138
11,115
11,36
11,109
12,72
12,119
12,64
13,114
13,141
14,13
14,139
15,24
16,43
16,105
16,125
16,124
17,103
17,16
17,43
17,98
18,100
19,117
19,74
19,109
19,143
19,125
20,49
20,76
20,56
21,149
22,81
23,13
24,129
24,136
24,41
24,15
24,131
24,21
24,48
24,18
25,61
25,104
26,146
26,64
27,21
28,150
28,145
28,134
28,81
28,67
28,53
28,81
29,68
29,102
29,34
29,77
30,81
30,19
30,3
30,118
30,145
30,26
30,19
30,138
31,130
31,68
31,34
31,90
32,63
32,95
33,41
33,113
33,140
33,78
33,136
34,142
35,27
35,68
35,30
35,28
36,70
36,73
36,54
37,53
37,68
37,130
37,126
37,65
37,14
38,109
38,71
39,1
40,34
40,68
40,42
40,114
40,142
40,110
41,29
42,39
42,140
43,95
44,111
44,33
44,11
45,94
45,11
45,92
45,54
45,64
46,91
46,144
47,40
47,61
47,42
47,46
47,106
47,7
47,46
48,106
48,64
48,69
48,41
48,28
48,98
49,121
50,52
50,118
50,90
50,79
51,58
51,7
51,50
51,103
52,72
52,18
52,72
52,90
52,131
52,103
53,8
53,30
53,67
53,46
53,149
53,68
54,28
55,89
55,81
55,112
55,131
55,30
55,99
55,148
56,66
56,12
56,112
56,1
57,94
57,111
57,18
57,85
58,32
58,77
58,130
58,80
58,105
58,84
59,76
59,142
59,33
59,50
59,108
59,98
59,45
60,104
60,141
60,1
60,78
60,74
61,111
61,149
61,83
61,120
62,114
62,55
62,131
62,122
62,44
62,22
62,73
62,132
63,24
63,61
63,80
63,58
63,51
63,38
64,12
65,122
65,19
65,117
65,107
66,99
66,127
66,103
66,63
67,2
67,28
67,109
68,46
68,133
68,119
68,13
69,32
69,117
69,35
69,119
70,114
70,130
70,110
70,141
70,115
70,41
71,116
71,67
71,64
71,134
71,125
71,62
72,20
72,74
72,61
72,70
72,86
72,82
72,139
72,21
73,39
73,60
73,99
74,55
74,17
74,107
75,85
75,139
75,120
75,107
75,16
75,53
75,108
76,150
76,6
76,148
76,98
76,123
76,2
76,91
77,100
77,108
77,138
77,140
77,57
78,57
78,70
78,112
78,125
78,8
78,100
78,87
78,104
79,120
79,33
79,137
80,101
81,22
82,35
82,119
82,47
82,13
82,67
82,98
82,84
83,117
83,84
83,87
83,98
84,108
84,65
84,21
84,121
84,5
85,90
86,18
86,11
86,8
86,64
87,6
87,40
87,62
87,33
88,30
88,145
88,56
88,120
88,66
88,95
88,43
88,30
89,80
89,28
89,149
90,80
91,102
91,51
91,20
91,63
91,27
91,78
91,31
92,89
93,95
93,18
93,130
93,88
93,4
93,108
93,126
94,111
94,93
95,40
95,112
95,46
95,134
95,70
95,138
95,124
95,120
96,69
96,83
96,63
96,23
96,72
96,116
96,63
97,146
97,98
97,87
97,8
97,127
97,84
97,47
97,125
98,91
98,67
98,88
98,72
99,143
99,3
99,133
99,49
99,22
100,105
100,126
100,143
100,62
101,126
101,115
101,5
101,24
101,76
101,57
101,104
101,63
102,149
102,95
102,122
102,142
102,136
103,109
103,141
103,85
103,91
103,117
103,70
104,65
104,60
104,31
104,50
104,81
105,138
105,48
106,56
106,124
106,71
106,135
107,26
107,50
107,76
107,59
107,93
108,78
108,4
108,137
109,71
109,12
109,14
110,33
110,126
110,27
110,4
110,147
111,121
111,123
111,113
111,88
111,48
112,65
113,30
113,17
113,103
113,126
113,19
113,148
113,14
113,39
114,145
114,78
114,22
115,31
115,143
115,107
115,58
116,114
116,77
116,110
116,79
116,146
116,16
117,54
117,55
118,21
118,41
118,62
118,45
118,142
119,41
119,1
120,116
120,121
120,75
120,9
120,60
120,74
120,73
121,19
121,60
121,68
121,51
121,109
121,30
121,140
121,58
122,69
122,37
122,19
123,43
124,146
124,74
124,113
124,32
124,120
125,104
125,70
125,129
125,139
125,127
126,21
126,11
126,111
126,83
126,65
126,7
126,24
126,59
127,69
128,45
129,133
129,114
129,72
129,47
129,150
129,112
129,126
129,24
130,90
130,105
130,86
130,83
130,27
130,42
130,85
130,106
131,74
131,103
131,141
131,10
131,117
131,23
131,81
131,65
132,30
132,104
132,1
132,139
132,119
133,14
133,49
133,93
133,128
133,114
133,14
134,69
134,141
134,34
134,74
135,125
135,32
135,8
135,62
135,41
135,80
135,142
135,4
136,24
136,58
136,30
136,119
136,31
136,40
136,128
137,131
137,70
137,107
137,124
137,121
138,117
138,142
138,38
138,99
139,131
139,35
139,18
139,71
140,88
140,130
140,69
140,1
140,73
140,77
140,149
141,39
141,115
141,138
141,124
141,89
141,86
141,142
141,140
142,117
142,83
142,49
142,62
142,147
142,99
142,60
143,12
143,82
143,122
143,98
143,99
143,39
143,127
144,33
145,26
145,113
145,26
145,135
145,117
145,4
146,105
146,40
146,20
147,68
147,87
147,102
147,21
147,85
147,137
147,98
147,82
148,139
148,10
148,18
148,61
148,74
148,59
148,24
148,112
149,26
149,114
150,77
150,8
150,12
